"","MSZoning","LotArea","Street","LotShape","Condition1","Condition2","OverallQual","OverallCond","RoofMatl","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","HeatingQC","stFlrS1","stFlrS2","GarageCars","GarageQual","GarageCond","WoodDeckSF","ScreenPorch","PoolArea","Fence","SaleCondition","SalePrice"
"34","RL",7313,"Pave","Reg","Norm","Norm",9,5,"CompShg","BrkFace",246,"Ex","TA","PConc",1153,0,408,"Ex",1561,0,2,"TA","TA",203,0,0,"None","Normal",12.5335762121686
"35","RL",13418,"Pave","Reg","Norm","Norm",8,5,"CompShg","Stone",132,"Gd","TA","PConc",0,0,1117,"Ex",1132,1320,3,"TA","TA",113,0,0,"None","Normal",12.6410965558799
"36","RL",10859,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","PConc",0,0,1097,"Ex",1097,0,2,"TA","TA",392,0,0,"None","Normal",11.8844890214027
"37","RL",8532,"Pave","Reg","Norm","Norm",5,6,"CompShg","BrkFace",650,"TA","TA","Others",1213,0,84,"Gd",1297,0,2,"TA","TA",0,0,0,"None","Normal",11.9381932003746
"38","RL",7922,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","Gd","Others",731,0,326,"TA",1057,0,1,"TA","TA",0,0,0,"None","Abnorml",11.5991031612113
"39","RL",8658,"Pave","Reg","Norm","Norm",6,5,"CompShg","BrkFace",101,"TA","TA","Others",643,0,445,"Ex",1324,0,2,"TA","TA",0,0,0,"GdWo","Abnorml",11.982929094216
"40","RL",16905,"Pave","Reg","Norm","Norm",5,6,"CompShg","None",0,"TA","Gd","Others",967,0,383,"Gd",1328,0,1,"TA","TA",0,0,0,"None","Normal",12.0435537160324
"41","RL",9180,"Pave","IR1","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","Others",747,93,0,"Gd",884,0,2,"TA","Gd",240,0,0,"MnPrv","Normal",11.8775685785581
"42","RL",9200,"Pave","IR1","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",280,491,167,"TA",938,0,1,"TA","TA",145,0,0,"MnPrv","Normal",11.7772109596156
"43","RL",7945,"Pave","Reg","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",179,506,465,"Ex",1150,0,1,"TA","TA",0,0,0,"None","Normal",11.8565151693603
"44","RL",7658,"Pave","Reg","Norm","Norm",9,5,"CompShg","BrkFace",412,"Ex","TA","PConc",456,0,1296,"Ex",1752,0,2,"TA","TA",196,0,0,"None","Normal",12.6757637259376
"45","RL",12822,"Pave","IR1","Norm","Norm",7,5,"CompShg","None",0,"Gd","TA","PConc",1351,0,83,"Ex",1518,631,2,"TA","TA",168,198,0,"None","Abnorml",12.3870850123755
"46","FV",11096,"Pave","Reg","Norm","Norm",8,5,"CompShg","None",0,"Gd","TA","PConc",24,0,1632,"Ex",1656,0,3,"TA","TA",0,0,0,"None","Normal",12.4280154762679
"47","RM",4456,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","Others",0,0,736,"Gd",736,716,0,"None","None",0,0,0,"None","Partial",11.6351430976945
"48","RL",7742,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","Others",763,0,192,"Ex",955,0,1,"TA","TA",0,0,0,"MnPrv","Normal",11.7519423654407
"49","RL",13869,"Pave","IR2","Norm","Norm",6,6,"CompShg","None",0,"TA","TA","PConc",182,0,612,"Gd",794,676,2,"TA","TA",0,0,0,"None","Normal",12.083905011556
"50","RM",6240,"Pave","Reg","Norm","Norm",6,6,"CompShg","None",0,"TA","TA","PConc",0,0,816,"TA",816,0,2,"TA","TA",112,0,0,"MnPrv","Normal",11.6483301019764
"51","RM",8472,"Grvl","IR2","RR","Norm",5,5,"CompShg","None",0,"Fa","TA","Others",104,712,0,"TA",816,0,2,"TA","TA",106,0,0,"None","Normal",11.6082356447746
"52","RL",50271,"Pave","IR1","Norm","Norm",9,5,"Others","None",0,"Gd","TA","Others",1810,0,32,"Gd",1842,0,3,"TA","TA",857,0,0,"None","Normal",12.8609986132699
"53","RL",7134,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",384,0,0,"TA",1360,0,2,"TA","TA",0,0,0,"MnPrv","Normal",11.7752897294377
"54","RL",10175,"Pave","IR1","Norm","Norm",6,5,"CompShg","BrkFace",272,"TA","TA","Others",490,0,935,"Gd",1425,0,2,"TA","TA",0,0,0,"None","Normal",12.1034860567551
"55","FV",2645,"Pave","Reg","Norm","Norm",8,5,"CompShg","BrkFace",456,"Gd","TA","PConc",649,0,321,"Ex",983,756,2,"TA","TA",115,0,0,"None","Abnorml",12.0581525154536
"56","RL",11645,"Pave","IR1","Norm","Norm",7,5,"CompShg","None",0,"Gd","TA","PConc",0,0,860,"Ex",860,860,2,"TA","TA",0,0,0,"None","Normal",12.1884177102915
"57","RL",13682,"Pave","IR2","Norm","Norm",10,5,"CompShg","BrkFace",1031,"Ex","TA","PConc",0,0,1410,"Ex",1426,1519,3,"TA","TA",192,0,0,"None","Partial",12.9917534274931
"58","RL",7200,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","Others",632,0,148,"Ex",780,0,1,"TA","TA",196,0,0,"MnPrv","Normal",11.7352686961137
"59","RL",13072,"Pave","Reg","RR","Norm",6,5,"CompShg","None",0,"TA","TA","PConc",941,0,217,"Ex",1158,0,2,"TA","TA",0,0,0,"None","Partial",11.9703503120091
"60","RM",7200,"Pave","Reg","Norm","Norm",5,7,"CompShg","None",0,"TA","TA","Others",0,0,530,"TA",581,530,1,"TA","TA",0,0,0,"None","Normal",11.5228757958234
"61","RL",6442,"Pave","IR1","Norm","Norm",8,5,"CompShg","Stone",178,"Gd","TA","PConc",24,0,1346,"Ex",1370,0,2,"TA","TA",120,0,0,"None","Normal",12.2184951655287
"62","RM",10300,"Pave","IR1","RR","Feedr",7,6,"CompShg","None",0,"TA","TA","Others",0,0,576,"Gd",902,808,2,"TA","TA",12,0,0,"GdPrv","Normal",11.8493977015914
"63","RL",9375,"Pave","Reg","Norm","Norm",7,5,"CompShg","BrkFace",573,"TA","TA","PConc",739,0,318,"Ex",1057,977,2,"TA","TA",576,0,0,"GdPrv","Normal",12.2991075114974
"64","RL",9591,"Pave","Reg","Norm","Norm",8,5,"CompShg","BrkFace",344,"Gd","TA","PConc",0,0,1143,"Ex",1143,1330,3,"TA","TA",192,0,0,"None","Normal",12.6666570528594
"65","RL",19900,"Pave","Reg","Pos","Pos",7,5,"CompShg","BrkFace",287,"TA","TA","Others",912,0,1035,"TA",2207,0,2,"TA","TA",301,0,0,"None","Normal",12.1007121298723
"66","RL",10665,"Pave","IR1","Norm","Norm",7,5,"CompShg","BrkFace",167,"Gd","TA","PConc",1013,0,440,"Ex",1479,0,2,"TA","TA",144,0,0,"None","Normal",12.3282902782544
"67","RM",4608,"Pave","Reg","Artery","Norm",4,6,"CompShg","None",0,"TA","Gd","Others",0,0,747,"TA",747,0,1,"TA","TA",0,0,0,"None","Normal",11.289781913656
"68","RL",15593,"Pave","Reg","Norm","Norm",7,4,"CompShg","None",0,"Gd","TA","Others",603,0,701,"TA",1304,983,2,"TA","TA",0,0,0,"None","Normal",12.3238556811866
"69","RL",13651,"Pave","IR1","Norm","Norm",7,6,"CompShg","BrkFace",1115,"TA","Gd","Others",1880,0,343,"Ex",2223,0,2,"TA","TA",300,0,0,"None","Normal",12.4049235042753
"70","RL",7599,"Pave","Reg","Norm","Norm",4,6,"CompShg","None",0,"TA","TA","Others",565,0,280,"TA",845,0,2,"TA","TA",0,0,0,"None","Normal",11.7714361601217
"71","RL",10141,"Pave","IR1","Norm","Norm",7,5,"CompShg","BrkFace",40,"TA","TA","PConc",0,0,832,"Gd",885,833,2,"TA","TA",0,291,0,"None","Normal",12.1281111040605
"72","RL",10200,"Pave","Reg","Norm","Norm",5,7,"CompShg","BrkFace",104,"TA","TA","Others",320,362,404,"Gd",1086,0,2,"TA","TA",0,0,0,"GdWo","Normal",11.8837991283088
"73","RM",5790,"Pave","Reg","Norm","Norm",3,6,"CompShg","None",0,"Gd","Gd","Others",0,0,840,"Gd",840,765,1,"TA","TA",0,0,0,"None","Normal",11.5843154610569
"74","RM",1596,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","Others",462,0,0,"TA",526,462,1,"TA","TA",120,0,0,"GdWo","Normal",11.418614785499
"75","RL",8475,"Pave","IR1","Norm","Norm",4,7,"CompShg","None",0,"TA","TA","Others",228,0,724,"Ex",952,0,1,"TA","TA",0,0,0,"None","Normal",11.8185702377962
"76","RM",8635,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",336,41,295,"TA",1072,213,1,"TA","TA",0,0,0,"MnPrv","Normal",11.7519423654407
"77","RL",10778,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","Others",0,0,1768,"TA",1768,0,0,"None","None",0,0,0,"None","Normal",11.8240798936072
"78","RM",10440,"Pave","Reg","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","PConc",0,0,440,"Gd",682,548,2,"TA","TA",74,0,0,"MnPrv","Normal",11.6082356447746
"79","RL",13000,"Pave","Reg","Norm","Norm",6,6,"CompShg","BrkFace",576,"TA","Gd","Others",448,0,448,"TA",1182,960,1,"TA","TA",0,252,0,"None","Normal",12.173032791452
"80","RM",4500,"Pave","Reg","Norm","Norm",6,5,"CompShg","BrkFace",443,"TA","Gd","PConc",1201,0,36,"Ex",1337,0,2,"TA","TA",0,0,0,"None","Normal",11.9414558460094
"81","RL",10206,"Pave","Reg","Norm","Norm",8,5,"CompShg","Stone",468,"TA","TA","PConc",33,0,1530,"Ex",1563,0,3,"TA","TA",144,0,0,"None","Normal",12.4090134895269
"82","RL",8892,"Pave","IR1","Norm","Norm",5,5,"CompShg","BrkCmn",66,"TA","TA","Others",0,0,1065,"Gd",1065,0,2,"TA","TA",74,0,0,"None","Normal",11.7479975871497
"83","RL",8530,"Pave","IR1","Norm","Norm",7,5,"CompShg","BrkFace",22,"TA","TA","PConc",0,0,384,"Gd",804,670,2,"TA","TA",120,0,0,"None","Normal",12.0346910287746
"84","RL",16059,"Pave","Reg","Norm","Norm",8,5,"CompShg","BrkFace",284,"Gd","TA","Others",0,0,1288,"Ex",1301,1116,2,"TA","TA",127,0,0,"None","Normal",12.4684369099977
"85","RL",11911,"Pave","IR2","Norm","Norm",6,5,"CompShg","None",0,"Gd","TA","PConc",0,0,684,"Ex",684,876,2,"TA","TA",100,0,0,"None","Normal",12.0668105781967
"86","FV",3951,"Pave","Reg","Norm","Norm",6,5,"CompShg","Stone",76,"Gd","TA","PConc",0,0,612,"Ex",612,612,2,"TA","TA",0,0,0,"None","Partial",12.0106658491876
"87","C (all)",8470,"Pave","IR1","Feedr","Feedr",3,2,"CompShg","None",0,"Fa","Fa","Others",0,0,1013,"TA",1013,0,0,"None","None",0,0,0,"MnPrv","Abnorml",11.3504065354725
"88","RL",8070,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","PConc",588,0,402,"Ex",990,0,0,"None","None",0,0,0,"None","Normal",11.7248058240057
"89","RL",8500,"Pave","Reg","Norm","Norm",5,3,"CompShg","BrkCmn",203,"TA","TA","Others",600,0,635,"TA",1235,0,2,"TA","TA",0,0,0,"GdWo","Abnorml",11.4988265405907
"90","RL",13360,"Pave","IR1","Norm","Norm",5,7,"CompShg","None",0,"TA","Gd","Others",713,0,163,"Ex",964,0,2,"TA","TA",0,0,0,"None","Normal",12.0045682693194
"91","C (all)",7200,"Pave","Reg","Norm","Norm",6,6,"CompShg","None",0,"TA","TA","Others",1046,0,168,"Ex",1260,1031,2,"TA","TA",0,99,0,"None","Normal",11.8048485316793
"92","RL",9337,"Pave","IR1","Norm","Norm",6,5,"CompShg","None",0,"TA","Gd","PConc",648,0,176,"Ex",905,881,2,"TA","TA",0,0,0,"None","Normal",12.2295450017153
"93","RL",9765,"Pave","IR2","Norm","Norm",6,8,"CompShg","BrkFace",68,"Ex","Gd","PConc",310,0,370,"Gd",680,790,2,"TA","TA",232,0,0,"None","Normal",12.1281111040605
"94","RL",10264,"Pave","IR1","Norm","Norm",7,5,"CompShg","BrkFace",183,"Gd","TA","PConc",1162,0,426,"Ex",1588,0,2,"TA","TA",158,0,0,"None","Normal",12.273731294004
"95","RL",10921,"Pave","Reg","Norm","Norm",4,5,"CompShg","BrkFace",48,"TA","TA","Others",520,0,440,"TA",960,0,1,"TA","TA",120,0,0,"None","Normal",11.4589971229447
"96","RL",10625,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",108,0,350,"Fa",835,0,1,"Fa","TA",0,0,0,"None","Abnorml",11.3265958867787
"97","RL",9320,"Pave","IR1","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","Others",569,0,381,"Fa",1225,0,0,"None","None",352,0,0,"None","Normal",11.7671800113095
"98","RL",10603,"Pave","IR1","Norm","Norm",6,7,"CompShg","BrkFace",28,"TA","TA","PConc",1200,0,410,"Gd",1610,0,2,"TA","TA",168,0,0,"None","Normal",12.2307652581205
"99","RL",9206,"Pave","Reg","Norm","Norm",6,5,"CompShg","BrkFace",336,"Gd","TA","Others",0,0,741,"TA",977,755,2,"TA","TA",192,0,0,"None","Normal",12.0895388292742
"100","RL",10402,"Pave","IR1","Norm","Norm",7,5,"CompShg","None",0,"TA","TA","PConc",0,0,1226,"Ex",1226,0,3,"TA","TA",0,0,0,"None","Normal",12.2005574648421
"101","RM",7758,"Pave","Reg","Norm","Norm",7,4,"CompShg","BrkFace",600,"TA","Fa","PConc",224,0,816,"Ex",1226,592,1,"TA","TA",0,184,0,"None","Normal",12.0406082058026
"102","FV",9375,"Pave","Reg","Norm","Norm",8,5,"CompShg","BrkFace",768,"Gd","TA","PConc",0,0,1053,"Ex",1053,939,2,"TA","TA",140,0,0,"None","Normal",12.4292161968444
"103","RM",10800,"Pave","Reg","Norm","Norm",4,7,"CompShg","None",0,"TA","TA","Others",0,0,641,"Gd",1047,0,1,"Fa","Fa",0,0,0,"None","Normal",11.5129254649702
"104","RM",6000,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","Others",104,169,516,"Ex",789,0,1,"TA","TA",0,0,0,"None","Partial",11.6526874073454
"105","RM",8500,"Pave","Reg","Artery","Norm",5,7,"CompShg","None",0,"TA","TA","Others",0,0,793,"TA",997,520,0,"None","None",0,0,0,"None","Normal",11.6526874073454
"106","RL",11751,"Pave","IR1","Norm","Norm",6,6,"CompShg","BrkFace",480,"TA","TA","Others",705,0,1139,"Ex",1844,0,2,"TA","TA",0,0,0,"MnPrv","Normal",12.1547793511426
"107","RL",9525,"Pave","Reg","Norm","Norm",6,4,"CompShg","None",0,"TA","TA","Others",444,0,550,"Gd",1216,639,1,"TA","TA",182,0,0,"None","Normal",11.8270060112765
"108","RL",7750,"Pave","IR1","Norm","Norm",7,5,"CompShg","None",0,"TA","TA","PConc",250,0,134,"Ex",774,656,2,"TA","TA",180,0,0,"None","Normal",12.1007121298723
"109","RL",9965,"Pave","Reg","Norm","Norm",7,5,"CompShg","Stone",220,"Gd","TA","PConc",984,0,280,"Ex",1282,1414,3,"TA","TA",120,168,0,"None","Partial",12.8583197035179
"110","RL",21000,"Pave","Reg","Norm","Norm",6,5,"CompShg","BrkFace",184,"TA","Gd","Others",35,869,905,"TA",2259,0,2,"TA","TA",166,0,0,"MnPrv","Abnorml",12.2876526325226
"111","RL",7259,"Pave","IR1","Norm","Norm",6,8,"CompShg","None",0,"TA","TA","Others",774,150,104,"Ex",1436,884,1,"TA","TA",224,0,0,"MnPrv","Normal",12.4665119815881
"112","FV",3230,"Pave","Reg","Norm","Norm",6,5,"CompShg","BrkFace",1129,"TA","TA","PConc",419,0,310,"Gd",729,729,2,"TA","TA",0,0,0,"None","Normal",12.0782392740203
"113","RL",11616,"Pave","Reg","Norm","Norm",5,5,"CompShg","BrkFace",116,"TA","TA","Others",170,670,252,"TA",1092,0,1,"TA","TA",0,0,0,"None","Normal",11.8422292121128
"114","RL",8536,"Pave","Reg","Norm","Norm",5,5,"CompShg","None",0,"TA","TA","PConc",0,0,1125,"Gd",1125,0,2,"TA","TA",80,0,0,"None","Partial",11.9511803959014
"115","RL",12376,"Pave","Reg","Norm","Norm",7,5,"CompShg","None",0,"TA","TA","PConc",1470,0,203,"Gd",1699,1523,3,"TA","TA",367,0,0,"None","Normal",12.6760762747759
"116","RL",8461,"Pave","Reg","Norm","Norm",6,5,"CompShg","None",0,"Gd","TA","PConc",0,0,728,"Ex",728,728,2,"TA","TA",0,0,0,"None","Partial",12.0075607293375
"117","RL",21453,"Pave","IR1","Norm","Norm",6,5,"Others","None",0,"TA","TA","Others",938,0,0,"Ex",988,0,2,"TA","TA",0,0,0,"None","Normal",12.1007121298723
"118","RM",6060,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","PConc",0,0,732,"Gd",772,351,1,"TA","TA",0,0,0,"MnPrv","Normal",11.5129254649702
"119","RL",9464,"Pave","Reg","Norm","Norm",6,7,"CompShg","BrkFace",135,"TA","Gd","Others",570,0,510,"Gd",1080,0,1,"TA","TA",0,130,0,"None","Normal",11.8204101647182
"120","RL",7892,"Pave","Reg","Norm","Norm",6,5,"CompShg","None",0,"Gd","TA","PConc",300,0,899,"Ex",1199,0,2,"TA","TA",0,0,0,"None","Normal",11.944058319827
"121","RL",17043,"Pave","IR1","Norm","Norm",6,5,"CompShg","None",0,"TA","Gd","Others",0,0,1362,"TA",1586,0,2,"TA","TA",192,0,0,"None","Normal",12.106252310248
"122","RM",6780,"Pave","Reg","Norm","Norm",6,8,"CompShg","None",0,"TA","Fa","Others",490,0,30,"Gd",520,0,0,"None","None",53,0,0,"None","Normal",11.3445068133453
"123","RL",4928,"Pave","IR1","Norm","Norm",6,5,"CompShg","None",0,"TA","TA","Others",120,0,958,"TA",958,0,2,"TA","TA",0,0,0,"None","Normal",11.7597855429018
"124","RM",4388,"Pave","IR1","Feedr","Norm",5,7,"CompShg","None",0,"TA","Gd","Others",116,0,556,"Ex",840,0,0,"None","None",0,0,0,"None","Normal",11.3736633976367
"125","RL",7590,"Pave","Reg","Pos","Pos",6,5,"CompShg","BrkFace",266,"TA","TA","Others",512,0,148,"TA",660,688,2,"TA","TA",188,0,0,"None","Normal",11.9511803959014
"126","RL",8973,"Pave","Reg","Norm","Norm",5,7,"CompShg","BrkFace",85,"TA","TA","Others",567,28,413,"TA",1053,0,2,"TA","TA",0,0,0,"MnWw","Abnorml",11.9183905730784
"127","RL",14200,"Pave","Reg","Norm","Norm",7,6,"CompShg","BrkFace",309,"TA","TA","Others",445,0,479,"Ex",1216,941,2,"TA","TA",105,0,0,"GdPrv","Normal",12.3282902782544
"128","RL",12224,"Pave","IR1","Norm","Norm",6,5,"CompShg","BrkFace",40,"Gd","TA","PConc",695,0,297,"Ex",1022,1032,2,"TA","TA",24,0,0,"None","Normal",12.4049235042753
"129","RL",7388,"Pave","Reg","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",405,0,658,"Gd",1327,0,2,"TA","TA",0,0,0,"None","Normal",11.9233781145894
"130","RL",6853,"Pave","IR1","Norm","Norm",8,5,"CompShg","BrkFace",136,"Gd","TA","PConc",1005,0,262,"Ex",1296,0,2,"TA","TA",192,0,0,"None","Normal",12.3013828253345
"131","RL",10335,"Pave","IR1","Norm","Norm",5,6,"CompShg","None",0,"TA","TA","Others",570,0,891,"Gd",1721,0,2,"TA","TA",0,0,0,"MnPrv","Normal",12.1007121298723
"132","RL",10400,"Pave","Reg","Norm","Norm",7,6,"CompShg","BrkFace",288,"TA","TA","PConc",0,0,1304,"Gd",1682,0,2,"TA","TA",98,0,0,"MnPrv","Normal",12.0668105781967
"133","RL",10355,"Pave","IR1","Norm","Norm",5,5,"CompShg","BrkFace",196,"TA","TA","Others",695,0,519,"TA",1214,0,1,"TA","TA",0,0,0,"None","Normal",11.870599909242
"134","RL",11070,"Pave","Reg","Norm","Norm",7,5,"CompShg","BrkFace",70,"TA","TA","Others",0,0,1907,"Gd",1959,0,3,"TA","TA",0,0,0,"None","Family",12.0494188354848
"135","RL",9066,"Pave","IR1","Norm","Norm",8,5,"CompShg","BrkFace",320,"Gd","TA","PConc",668,0,336,"Ex",1004,848,3,"TA","TA",224,0,0,"GdPrv","Normal",12.3458345879053
"136","RL",15426,"Pave","IR1","Norm","Norm",6,5,"CompShg","None",0,"TA","TA","PConc",821,0,107,"Ex",928,836,2,"TA","TA",276,0,0,"MnPrv","Normal",12.3523351525084
"137","RL",10500,"Pave","Reg","Norm","Norm",4,5,"CompShg","None",0,"TA","TA","Others",432,0,432,"TA",864,0,0,"None","None",0,0,0,"None","Normal",11.6526874073454
